neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Bang Khen,13.86789,100.60451,1200,1,34,2022-05-12,330,2
Thon buri,13.71066,100.48007,907,5,6,2022-11-18,325,1
Vadhana,13.73256,100.59577,650,1,24,2017-07-10,349,0
Ratchathewi,13.75018,100.53277,1150,3,73,2022-11-14,313,7
Phaya Thai,13.78898,100.54582,1905,3,33,2020-01-03,330,0
Chatu Chak,13.80646,100.56226,2211,1,8,2020-02-10,131,0
Khlong Toei,13.71097,100.58523,1000,3,0,,362,0
Khlong San,13.71331,100.49882,1450,24,17,2022-11-27,326,1
Khlong Toei,13.706226,100.598396,1436,3,37,2022-10-31,210,5
Din Daeng,13.79031,100.57423,1200,3,24,2015-12-17,360,0
Bang Na,13.68005,100.60938,799,7,38,2019-07-19,350,0
Bang Sue,13.81936,100.53637,866,7,36,2019-11-19,361,0
Phasi Charoen,13.71067,100.452,825,7,3,2015-02-10,365,0
Pra Wet,13.67571,100.65415,1200,2,0,,365,0
Bang Rak,13.73215,100.5214,1800,30,3,2018-08-04,233,0
Sathon,13.72062,100.54707,593,1,103,2022-10-06,301,6
Phra Nakhon,13.75989,100.4999,496,1,31,2019-03-15,362,0
Phra Khanong,13.68585,100.61037,999,3,36,2019-11-18,271,0
Parthum Wan,13.74763,100.5283,2000,7,20,2016-02-10,330,0
Chatu Chak,13.83442,100.57082,1100,7,0,,365,0
Parthum Wan,13.74124,100.53352,4258,1,0,,365,0
Phra Khanong,13.68494,100.60537,744,30,32,2019-02-28,142,0
Chatu Chak,13.80786,100.57013,1860,3,332,2022-12-21,307,26
Din Daeng,13.78905,100.57354,600,2,26,2017-01-16,174,0
Pra Wet,13.70489,100.66969,699,2,0,,180,0
Pra Wet,13.70675,100.67085,699,1,0,,365,0
Yan na wa,13.69589,100.53495,1500,1,0,,365,0
Vadhana,13.73784,100.56407,700,10,0,,4,0
Khlong Toei,13.72138,100.58236,15000,1,1,2014-11-20,365,0
Lat Krabang,13.79016,100.78797,9500,3,0,,365,0
Vadhana,13.73826,100.58525,2000,1,0,,365,0
Bang Na,13.6753,100.59922,2078,2,8,2021-11-28,357,0
Vadhana,13.74521,100.56804,1682,2,3,2016-09-20,365,0
Vadhana,13.72792,100.58774,3500,1,0,,365,0
Vadhana,13.72815,100.58755,3500,1,0,,365,0
Sathon,13.72077,100.54692,1200,1,248,2022-06-13,190,8
Sathon,13.72075,100.54692,1450,1,233,2022-11-25,355,3
Sathon,13.72075,100.5469,1450,1,91,2022-11-10,355,9
Suanluang,13.71037,100.62355,670,1,0,,365,0
Bang Na,13.67896,100.61232,400,2,66,2022-12-14,81,2
Phaya Thai,13.77481,100.54546,1659,30,59,2020-01-08,360,0
Chatu Chak,13.81658,100.5787,1057,4,0,,358,0
Suanluang,13.73898,100.61394,1385,1,0,,365,0
Phra Nakhon,13.75545,100.50362,1717,1,1,2015-04-20,318,0
Phra Khanong,13.69406,100.59619,1080,5,0,,365,0
Vadhana,13.73078,100.59043,3000,1,0,,365,0
Chatu Chak,13.82955,100.5428,1000,3,0,,363,0
Chatu Chak,13.80977,100.569,2000,30,5,2015-06-22,104,0
Suanluang,13.73585,100.63108,8000,1,35,2020-01-01,365,0
Bang Rak,13.72904,100.53521,3775,1,17,2020-01-23,57,0
Vadhana,13.73359,100.57397,2220,21,33,2020-01-02,346,0
Ratchathewi,13.75059,100.5556,1590,10,63,2016-09-12,355,0
Phaya Thai,13.78231,100.54341,1650,30,110,2022-11-29,340,3
Bang Sue,13.82095,100.53517,750,3,21,2022-07-15,164,4
Khlong San,13.71014,100.50364,1177,6,92,2020-03-31,131,0
Khlong San,13.71031,100.50235,1177,6,84,2022-11-30,119,9
Khlong Toei,13.70527,100.60015,1108,14,44,2022-08-22,223,1
Rat Burana,13.68106,100.5078,700,30,8,2022-11-17,273,2
Bang Na,13.68102,100.61227,520,7,151,2022-12-14,42,12
Huai Khwang,13.78242,100.57513,1150,28,115,2022-12-10,315,4
Khlong San,13.72167,100.50761,330,2,1,2020-02-15,362,0
Khlong Toei,13.70702,100.59778,999,30,37,2022-11-27,147,6
Saphan Sung,13.77459,100.67264,370,1,34,2019-12-09,363,0
Phra Khanong,13.69768,100.60777,1200,5,1,2015-02-01,365,0
Bang Phlat,13.80663,100.51206,1093,1,0,,355,0
Lat Phrao,13.81556,100.61063,900,1,1,2019-01-17,364,0
Bang Rak,13.73349,100.52333,1900,30,4,2022-10-31,342,1
Chom Thong,13.71367,100.46775,600,30,35,2022-11-17,317,4
Bang Rak,13.73008,100.51486,2212,5,17,2022-11-27,293,3
Khlong Sam Wa,13.84514,100.76442,1044,1,0,,365,0
Din Daeng,13.78087,100.57255,800,1,0,,365,0
Khlong Toei,13.72228,100.57116,1209,1,0,,365,0
Sathon,13.71045,100.52223,5818,1,166,2022-11-21,313,2
